creation|78|
scaleout|1|42|200.19.177.106
scaleout|2|88|200.19.177.106
scaleout|3|88|200.19.177.106
scaleout|4|94|200.19.177.106
scaleout|5|89|200.19.177.106
scaleout|6|90|200.19.177.106
scaleout|7|91|200.19.177.106
scaleout|8|86|200.19.177.106
scaleout|9|228|200.19.177.106
scale|9|41|200.19.177.106
scale|8|41|200.19.177.106
scale|7|40|200.19.177.106
scale|6|4|200.19.177.106
scale|5|40|200.19.177.106
scale|4|38|200.19.177.106
scale|3|38|200.19.177.106
scale|2|43|200.19.177.106
scale|1|43|200.19.177.106
